Date:TEXT,Item:TEXT,New:REAL
4/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
4/3/2025,"Express Checkout Payment: Ticketmaster, LLC",952.0
4/3/2025,"Express Checkout Payment: Ticketmaster, LLC",456.0
4/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
4/21/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
8/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
8/11/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
8/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
8/23/2025,PreApproved Payment Bill User Payment: Consumer Reports,43.0
8/26/2025,Express Checkout Payment: Deutsche Lufthansa AG,1790.3
2/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
2/2/2025,Express Checkout Payment: Weee Inc ID: 53S940456E3734737,37.9
2/8/2025,Express Checkout Payment: Deutsche Lufthansa AG,417.0
2/8/2025,Express Checkout Payment: AEGEAN AIRLINES S.A.,345.6
2/8/2025,Express Checkout Payment: Deutsche Lufthansa AG,2504.6
2/9/2025,Payment Refund: Deutsche Lufthansa AG ID: 8V778232YK974380S,-2379.1
2/10/2025,Payment Refund: Deutsche Lufthansa AG ID: 4R546392V2453254E,-395.1
2/11/2025,Payment Refund: Deutsche Lufthansa AG ID: 5FV43659YX287924K,-7815.3
2/19/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
2/24/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
2/24/2025,Express Checkout Payment: Deutsche Lufthansa AG,5401.0
1/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
1/1/2025,Express Checkout Payment: Eventim UK Ltd,127.4
1/1/2025,Express Checkout Payment: Eventim UK Ltd,113.2
1/4/2025,General Payment: Aerostar Owners Association,450.0
1/8/2025,Express Checkout Payment: Hanesbrands Inc,157.0
1/9/2025,PreApproved Payment Bill User Payment: McAfee LLC,165.3
1/11/2025,PreApproved Payment Bill User Payment: Bright Market LLC dba FastSpring,132.2
1/14/2025,Express Checkout Payment: TRAINLINE.COM LIMITED,203.7
1/15/2025,Express Checkout Payment: TRAINLINE.COM LIMITED,25.6
1/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
1/17/2025,PreApproved Payment Bill User Payment: McAfee LLC,165.3
1/27/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
7/2/2025,PreApproved Payment Bill User Payment: Patreon,10.0
7/2/2025,Express Checkout Payment: Intelsat Inflight LLC,8.0
7/2/2025,Express Checkout Payment: Intelsat Inflight LLC,8.0
7/14/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
7/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
7/18/2025,Express Checkout Payment: American Airlines,239.5
7/26/2025,"Express Checkout Payment: DHL Express (USA), Inc.",226.4
7/28/2025,Express Checkout Payment: Deutsche Lufthansa AG,7000.1
7/28/2025,Express Checkout Payment: Deutsche Lufthansa AG,4687.8
7/30/2025,Express Checkout Payment: Delta Air Lines INC,9420.0
7/30/2025,PreApproved Payment Bill User Payment: The Economist Newspaper NA Inc,274.4
7/31/2025,Payment Refund: Delta Air Lines INC ID: 05D03102H7963012L,-4.5
6/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
6/7/2025,Express Checkout Payment: Eventim UK Ltd,183.5
6/8/2025,Express Checkout Payment: Eventim UK Ltd,122.3
6/13/2025,Express Checkout Payment: IMPERIAL WAR MUSEUM TRADING COMPANY,199.6
6/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
6/16/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
6/17/2025,"Express Checkout Payment: Delta Air Lines 3,895.88 USD X 0.7045 (Exchange Rate)",3895.9
6/19/2025,Express Checkout Payment: British Airways Plc,279.4
6/19/2025,Express Checkout Payment: British Airways Plc,21.3
6/25/2025,"Express Checkout Payment: Delta Air Lines, Inc.",169.0
6/25/2025,Donation Payment: Milo Foundation ID: 4P156818S0319171B,514.8
6/27/2025,Express Checkout Payment: Temu.com ID: 7LJ49479BK462234M,144.2
6/30/2025,Express Checkout Payment: Intelsat Inflight LLC,8.0
6/30/2025,Express Checkout Payment: Intelsat Inflight LLC,8.0
6/30/2025,PreApproved Payment Bill User Payment: Vote Vivian Song,1250.3
3/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
3/5/2025,Express Checkout Payment: Hamrick Software,100.0
3/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
3/17/2025,General Payment: Bahia Tronco SA DE CV ID: 5C25190791168180R,1815.0
3/24/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
3/25/2025,Express Checkout Payment: Delta Air Lines INC,593.5
3/26/2025,Express Checkout Payment: American Airlines,713.5
3/31/2025,Express Checkout Payment: Hamrick Software,50.0
5/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
5/14/2025,Express Checkout Payment: The Way Ahead Group Limited,65.4
5/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
5/19/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
5/23/2025,Express Checkout Payment: Paddle.com Market Limited,10.0
5/23/2025,Express Checkout Payment: Paddle.com Market Limited,10.0
5/25/2025,Express Checkout Payment: Eventim UK Ltd,122.0
5/25/2025,Express Checkout Payment: Eventim UK Ltd,61.0
5/26/2025,Express Checkout Payment: Eventim UK Ltd,61.0
5/27/2025,Express Checkout Payment: Weee Inc ID: 6KX717955C9547155,42.0
5/27/2025,Express Checkout Payment: Weee Inc ID: 0WX39611G5864913D,42.4
5/28/2025,"PreApproved Payment Bill User Payment: The Week Publications, Inc",63.5
11/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
11/3/2025,PreApproved Payment Bill User Payment: The New York Times Co.,28.0
11/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
11/23/2025,Donation Payment: DANIEL-ADRIAN SAMOILA,10.7
10/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
10/6/2025,PreApproved Payment Bill User Payment: The New York Times Co.,28.0
10/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
9/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
9/1/2025,Express Checkout Payment: Deutsche Lufthansa AG,913.9
9/8/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
9/14/2025,"PreApproved Payment Bill User Payment: Epoch.com, LLC",60.0
9/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
9/20/2025,PreApproved Payment Bill User Payment: The Financial Times Ltd,719.0